name,total_score,priority
Иванов Иван Иванович,360,1
Петров Петр Петрович,350,2
Сидоров Сидор Сидорович,345,1
Козлов Алексей Сергеевич,330,3
Морозова Анна Викторовна,325,2
Волков Дмитрий Андреевич,310,1
Федорова Елена Николаевна,305,4
Попов Максим Игоревич,290,3
Соколова Ольга Владимировна,285,2
Никитин Артем Александрович,270,1
Зайцева Татьяна Сергеевна,265,5
Беляев Виктор Петрович,250,3
Яковлева Наталья Михайловна,245,2
Лебедев Сергей Алексеевич,230,1
Егорова Мария Дмитриевна,225,4
Новиков Андрей Алексеевич,370,1
Михайлова Ирина Валерьевна,308,3
Васильева Ксения Олеговна,315,2
Алексеев Олег Викторович,280,1
Кузнецов Роман Максимович,335,3
