name,total_score,priority
Смирнов Алексей Иванович,350,1
Васильев Борис Петрович,340,2
Кузнецов Виктор Сергеевич,330,1
Попова Галина Андреевна,320,3
Новикова Дарья Михайловна,310,2
Михайлов Евгений Алексеевич,300,1
Фролова Жанна Викторовна,290,4
Богданов Захар Дмитриевич,280,3
Воробьев Иван Николаевич,270,2
Семенова Ксения Олеговна,260,1
Григорьев Леонид Павлович,250,5
Алексеева Марина Владимировна,240,3
Дмитриев Никита Андреевич,230,2
Комаров Ольга Юрьевна,220,1
Орлов Павел Александрович,210,4
Ковалев Роман Александрович,355,1
Леонтьева Татьяна Игоревна,293,3
Петрова Юлия Викторовна,315,2
Соколов Роман Игоревич,275,1
