name,total_score,priority
Смирнов Алексей Иванович,345,1
Васильев Борис Петрович,335,2
Кузнецов Виктор Сергеевич,325,1
Попова Галина Андреевна,315,3
Новикова Дарья Михайловна,305,2
Михайлов Евгений Алексеевич,295,1
Фролова Жанна Викторовна,285,4
Богданов Захар Дмитриевич,275,3
Воробьев Иван Николаевич,265,2
Семенова Ксения Олеговна,255,1
Григорьев Леонид Павлович,245,5
Алексеева Марина Владимировна,235,3
Дмитриев Никита Андреевич,225,2
Комаров Ольга Юрьевна,215,1
Орлов Павел Александрович,205,4
Ковалев Роман Александрович,350,1
Леонтьева Татьяна Игоревна,288,3
