name,total_score,priority
Иванов Иван Иванович,355,1
Петров Петр Петрович,340,2
Сидоров Сидор Сидорович,335,1
Козлов Алексей Сергеевич,320,3
Морозова Анна Викторовна,315,2
Волков Дмитрий Андреевич,300,1
Федорова Елена Николаевна,295,4
Попов Максим Игоревич,280,3
Соколова Ольга Владимировна,275,2
Никитин Артем Александрович,260,1
Зайцева Татьяна Сергеевна,255,5
Беляев Виктор Петрович,240,3
Яковлева Наталья Михайловна,235,2
Лебедев Сергей Алексеевич,220,1
Егорова Мария Дмитриевна,215,4
Новиков Андрей Алексеевич,360,1
Михайлова Ирина Валерьевна,298,3
