name,total_score,priority
Комаров Александр Сергеевич,335,1
Макаров Борис Викторович,325,2
Ефимов Виталий Алексеевич,315,1
Калинина Галина Дмитриевна,305,3
Медведев Денис Николаевич,295,2
Громова Екатерина Павловна,285,1
Тимофеев Федор Олегович,275,4
Казаков Игорь Владимирович,265,3
Крылова Юлия Алексеевна,255,2
Беляева Зоя Михайловна,245,1
Трофимов Артем Константинович,235,5
Лазарева Вера Ивановна,225,3
Калинин Ярослав Александрович,215,2
Ширяева Лариса Петровна,205,1
Блохин Максим Сергеевич,195,4
Андреева Ольга Николаевна,340,1
Зуев Павел Юрьевич,278,3
Виноградова Анна Михайловна,290,2
Куликов Роман Алексеевич,250,1
Морозов Сергей Викторович,310,3
