name,total_score,priority
Комаров Александр Сергеевич,330,1
Макаров Борис Викторович,320,2
Ефимов Виталий Алексеевич,310,1
Калинина Галина Дмитриевна,300,3
Медведев Денис Николаевич,290,2
Громова Екатерина Павловна,280,1
Тимофеев Федор Олегович,270,4
Казаков Игорь Владимирович,260,3
Крылова Юлия Алексеевна,250,2
Беляева Зоя Михайловна,240,1
Трофимов Артем Константинович,230,5
Лазарева Вера Ивановна,220,3
Калинин Ярослав Александрович,210,2
Ширяева Лариса Петровна,200,1
Блохин Максим Сергеевич,190,4
Андреева Ольга Николаевна,335,1
Зуев Павел Юрьевич,273,3
Виноградова Анна Михайловна,285,2
Куликов Роман Алексеевич,245,1
