name,total_score,priority
Комаров Александр Сергеевич,325,1
Макаров Борис Викторович,315,2
Ефимов Виталий Алексеевич,305,1
Калинина Галина Дмитриевна,295,3
Медведев Денис Николаевич,285,2
Громова Екатерина Павловна,275,1
Тимофеев Федор Олегович,265,4
Казаков Игорь Владимирович,255,3
Крылова Юлия Алексеевна,245,2
Беляева Зоя Михайловна,235,1
Трофимов Артем Константинович,225,5
Лазарева Вера Ивановна,215,3
Калинин Ярослав Александрович,205,2
Ширяева Лариса Петровна,195,1
Блохин Максим Сергеевич,185,4
Андреева Ольга Николаевна,330,1
Зуев Павел Юрьевич,268,3
